kind,stage,season,in_temp_mean,in_temp_std,in_temp_range,light_mean,light_std,light_range,feed_temp_mean,feed_temp_std,feed_temp_range,feed_ec_mean,feed_ec_std,feed_ec_range,feed_ph_mean,feed_ph_std,feed_ph_range
겨자채,생육기,3가을,21.6,1.53,"[20.07, 23.13]",94.3,83.67,"[10.63, 177.97]",21.7,1.64,"[20.06, 23.34]",0.2,0.05,"[0.15, 0.25]",5.6,1.36,"[4.24, 6.96]"
겨자채,생육기,4겨울,21.5,2.07,"[19.43, 23.57]",94.0,79.53,"[14.47, 173.53]",20.6,1.47,"[19.13, 22.07]",0.1,0.04,"[0.06, 0.14]",6.1,1.18,"[4.92, 7.28]"
겨자채,수확기,3가을,22.6,1.36,"[21.24, 23.96]",71.8,63.36,"[8.44, 135.16]",23.0,1.67,"[21.33, 24.67]",0.2,0.04,"[0.16, 0.24]",6.0,1.3,"[4.7, 7.3]"
겨자채,수확기,4겨울,21.0,2.36,"[18.64, 23.36]",71.7,71.31,"[0.39, 143.01]",20.6,1.25,"[19.35, 21.85]",0.1,0.06,"[0.04, 0.16]",6.1,1.33,"[4.77, 7.43]"
겨자채,정식기,3가을,22.2,1.38,"[20.82, 23.58]",125.1,88.76,"[36.34, 213.86]",21.5,1.15,"[20.35, 22.65]",0.1,0.05,"[0.05, 0.15]",5.4,0.98,"[4.42, 6.38]"
겨자채,정식기,4겨울,22.1,2.37,"[19.73, 24.47]",85.2,55.56,"[29.64, 140.76]",20.4,1.59,"[18.81, 21.99]",0.1,0.03,"[0.07, 0.13]",6.3,0.48,"[5.82, 6.78]"
근대,생육기,3가을,21.3,1.65,"[19.65, 22.95]",118.8,91.13,"[27.67, 209.93]",21.2,1.7,"[19.5, 22.9]",0.2,0.05,"[0.15, 0.25]",5.0,1.27,"[3.73, 6.27]"
근대,생육기,4겨울,21.5,2.22,"[19.28, 23.72]",82.0,64.34,"[17.66, 146.34]",20.4,1.45,"[18.95, 21.85]",0.1,0.03,"[0.07, 0.13]",6.2,0.97,"[5.23, 7.17]"
근대,수확기,3가을,21.8,2.03,"[19.77, 23.83]",86.6,89.28,"[-2.68, 175.88]",21.8,2.1,"[19.7, 23.9]",0.2,0.06,"[0.14, 0.26]",5.4,1.45,"[3.95, 6.85]"
근대,수확기,4겨울,20.2,2.11,"[18.09, 22.31]",49.4,38.07,"[11.33, 87.47]",19.9,1.35,"[18.55, 21.25]",0.1,0.03,"[0.07, 0.13]",6.5,0.72,"[5.78, 7.22]"
근대,정식기,3가을,21.6,1.24,"[20.36, 22.84]",131.8,80.95,"[50.85, 212.75]",21.2,1.06,"[20.14, 22.26]",0.1,0.04,"[0.06, 0.14]",5.4,1.0,"[4.4, 6.4]"
근대,정식기,4겨울,22.7,2.1,"[20.6, 24.8]",86.7,57.7,"[29.0, 144.4]",20.7,1.54,"[19.16, 22.24]",0.1,0.02,"[0.08, 0.12]",6.2,0.53,"[5.67, 6.73]"
상추,생육기,3가을,21.8,1.73,"[20.07, 23.53]",124.8,82.67,"[42.13, 207.47]",21.4,1.63,"[19.77, 23.03]",0.2,0.04,"[0.16, 0.24]",5.2,1.25,"[3.95, 6.45]"
